# host=laptop
# arch=x86_64-linux
# date=2026-09-24
# commit=a6b6afbe4
# dirty=yes
# rustc=rustc 1.97.0 (2d8144b78 2026-07-07)
# samples=7
# target_ms=400.0
# ref_flags=-O
# pinned=yes
bench	routine	commit	date	flags	hash	native_max	native_min	native_n	native_ns	native_spread	ratio	ratio_hi	ratio_lo	rust_max	rust_min	rust_n	rust_ns	rust_spread	verdict
01_fibonacci	fibonacci	14d99b7c6	2026-09-22		cb228	7449258	6478034	58	6686689	4.13	2.53	2.63	2.45	2763233	2638066	150	2642313	2.90	OVER
02_sum_loop	sum_loop	14d99b7c6	2026-09-22		4c4b40	5613716	5389432	74	5393000	1.87	1.81	1.84	1.79	3150820	2976970	134	2977477	1.00	ok
03_sieve	sieve	14d99b7c6	2026-09-22		658d	11053222	10990666	36	10996666	0.31	1.03	1.03	1.03	10709176	10700411	34	10706205	0.04	ok
04_collatz	collatz	14d99b7c6	2026-09-22		94ecd97	50475125	49736000	8	49764000	0.05	1.94	1.94	1.94	25667642	25615000	14	25647642	0.08	ok
05_mandelbrot	mandelbrot	14d99b7c6	2026-09-22		24d948	6249671	6242375	64	6246718	0.04	1.02	1.02	1.02	6132656	6127562	64	6129812	0.03	ok
06_newton_sqrt	newton_sqrt	14d99b7c6	2026-09-22		141af99	28243714	28204500	14	28236785	0.06	2.21	2.21	2.21	12797600	12785233	30	12795966	0.03	OVER
07_string_build	string_build	14d99b7c6	2026-09-22		22ecfa	11728176	11242470	34	11284382	0.22	2.56	2.56	2.54	4447633	4394655	90	4407922	0.60	OVER
08_word_count	word_count	14d99b7c6	2026-09-22		7f690e	17229636	17002863	22	17092136	0.45	3.73	3.73	3.70	4605872	4570790	86	4588127	0.40	OVER
09_matrix_mul	dot_product	14d99b7c6	2026-09-22	noisy	13670dc1555	1833479	1636069	246	1698349	7.68	1.15	1.21	1.10	1633327	1465875	232	1482465	1.49	ok
10_sort	sort	14d99b7c6	2026-09-22		24a2d	2224331	2162717	184	2164494	1.74	2.40	2.45	2.40	902950	899957	442	900859	0.18	OVER
11_par	par	14d99b7c6	2026-09-22		141af99	9717526	8988973	38	9310078	3.40	5.15	5.27	5.02	2008380	1753743	218	1808036	1.50	OVER
12_drawing	hash	14d99b7c6	2026-09-22		7698ffff	115360	106010	194	106701	2.22	1.01	1.02	0.98	113180	105900	260	106092	2.59	ok
12_drawing	lock	14d99b7c6	2026-09-22	noisy	33e56005	2460149	2039701	194	2071680	8.94	1.34	1.45	1.27	1679976	1528053	260	1542496	4.45	ok
13_stdlib_text	byte_walk	14d99b7c6	2026-09-22		c8	3877	3567	850	3570	0.36	1.21	1.22	1.20	2985	2939	1074	2947	0.61	ok
13_stdlib_text	char_walk	14d99b7c6	2026-09-22		2e18	11625	10408	850	10440	0.68	2.06	2.08	2.06	5086	5047	1074	5057	0.25	OVER
13_stdlib_text	find_contains	14d99b7c6	2026-09-22		1701	14248	13010	850	13088	0.86	1.32	1.34	1.30	10074	9634	1074	9918	1.86	ok
13_stdlib_text	format_num	14d99b7c6	2026-09-22		57b2	510684	467068	850	468528	0.49	1.30	1.31	1.25	373344	357738	1074	360121	3.94	ok
13_stdlib_text	join	14d99b7c6	2026-09-22		2df9	6614	6042	850	6109	1.75	1.06	1.08	1.05	6216	5705	1074	5744	0.72	ok
13_stdlib_text	parse_num	14d99b7c6	2026-09-22		12dbe18	42124	38821	850	39074	0.29	0.93	0.94	0.93	45562	41662	1074	41974	1.02	ok
13_stdlib_text	replace	14d99b7c6	2026-09-22		266c	4110	3558	850	3571	2.03	0.80	0.82	0.80	4575	4427	1074	4449	0.91	ok
13_stdlib_text	split	14d99b7c6	2026-09-22		21bd	3147	3044	850	3123	1.78	1.16	1.16	1.14	2709	2653	1074	2694	0.32	ok
13_stdlib_text	split_walk	14d99b7c6	2026-09-22		21bd	2708	2672	850	2694	0.41	1.08	1.09	1.08	2503	2461	1074	2484	0.68	ok
13_stdlib_text	trim_lower	14d99b7c6	2026-09-22		1e9c	8667	8070	850	8140	0.82	1.39	1.40	1.37	6208	5824	1074	5855	1.04	ok
14_stdlib_vector	comprehension	14d99b7c6	2026-09-22		17d735e1	12366	12217	7904	12260	0.62	1.90	1.91	1.89	6466	6430	11206	6457	0.13	ok
14_stdlib_vector	copy	14d99b7c6	2026-09-22		15524	7654	7645	7904	7647	0.07	2.47	2.48	2.47	3104	3088	11206	3090	0.23	OVER
14_stdlib_vector	grid	14d99b7c6	2026-09-22		a8ac0	23539	23365	7904	23444	0.32	2.75	2.76	2.74	8549	8511	11206	8521	0.23	OVER
14_stdlib_vector	index_read	14d99b7c6	2026-09-22		2099c	21828	21806	7904	21822	0.03	1.83	1.83	1.83	11998	11920	11206	11926	0.15	ok
14_stdlib_vector	index_write	14d99b7c6	2026-09-22		449	3988	3946	7904	3962	0.30	1.03	1.03	1.03	3857	3844	11206	3849	0.13	ok
14_stdlib_vector	min_max_of	14d99b7c6	2026-09-22		186a1	28850	28830	7904	28843	0.04	1.84	1.84	1.84	15742	15660	11206	15683	0.12	ok
14_stdlib_vector	push	14d99b7c6	2026-09-22		c350	7983	7956	7904	7959	0.02	0.53	0.53	0.53	15068	14961	11206	15021	0.35	ok
14_stdlib_vector	record_append	14d99b7c6	2026-09-22		afc7	36392	36298	7904	36361	0.11	1.02	1.03	1.02	35979	28777	11206	35519	1.04	ok
14_stdlib_vector	record_update	14d99b7c6	2026-09-22		7537	12270	11952	7904	12096	1.20	1.60	1.61	1.58	7625	7532	11206	7572	0.50	ok
14_stdlib_vector	record_walk	14d99b7c6	2026-09-22		c17830c	16296	16137	7904	16204	0.56	1.49	1.50	1.48	10984	10811	11206	10880	0.30	ok
14_stdlib_vector	remove_front	14d99b7c6	2026-09-22		7fe00	49724	49027	7904	49558	0.75	1.45	1.45	1.44	34986	34080	11206	34156	0.14	ok
14_stdlib_vector	sum	14d99b7c6	2026-09-22		3b99b7c6	3697	3636	7904	3681	0.33	2.04	2.04	2.03	1812	1805	11206	1808	0.22	OVER
15_stdlib_keyed	grouped_fill_find	14d99b7c6	2026-09-22		9ade4	801009	798708	206	800087	0.16	3.54	3.55	3.53	227141	225410	672	225799	0.45	OVER
15_stdlib_keyed	hash_fill	14d99b7c6	2026-09-22		9cb	570572	567097	206	568150	0.36	3.11	3.12	3.09	184892	182004	672	182748	0.82	OVER
15_stdlib_keyed	hash_find	14d99b7c6	2026-09-22		26325c	368135	353849	206	359087	1.25	3.48	3.51	3.45	104488	102995	672	103205	0.36	OVER
15_stdlib_keyed	hash_remove	14d99b7c6	2026-09-22		9c4	974271	970805	206	973373	0.19	3.49	3.50	3.48	281367	277662	672	278947	0.45	OVER
15_stdlib_keyed	hash_text_keys	14d99b7c6	2026-09-22		7d0	663597	659519	206	660349	0.14	4.98	5.00	4.94	134206	131674	672	132696	1.07	OVER
15_stdlib_keyed	hash_update	14d99b7c6	2026-09-22		138a	174961	169417	206	172203	1.68	3.31	3.36	3.28	52250	51561	672	51947	0.96	OVER
15_stdlib_keyed	index_fill_find	14d99b7c6	2026-09-22		99a5c	1917674	1913514	206	1916825	0.14	3.23	3.23	3.22	594586	592171	672	593373	0.18	OVER
15_stdlib_keyed	sorted_fill_walk	14d99b7c6	2026-09-22		4173	1591800	1587500	206	1589941	0.07	4.93	4.94	4.93	322931	321598	672	322462	0.14	OVER
16_consumer_shapes	bfs_flow	14d99b7c6	2026-09-22		5d2a3	246535	244221	284	245345	0.42	1.52	1.53	1.51	162472	160848	692	161336	0.59	ok
16_consumer_shapes	catalog_churn	14d99b7c6	2026-09-22		1856	1408017	1402626	284	1403746	0.14	2.43	2.45	2.42	582565	569780	692	576628	1.17	OVER
16_consumer_shapes	chunk_lookup	14d99b7c6	2026-09-22		26d76	776739	770535	284	775010	0.37	2.01	2.01	2.00	387619	385776	692	386336	0.16	unclear
16_consumer_shapes	composite_hash	14d99b7c6	2026-09-22		43a9	484975	483880	284	484369	0.12	3.95	3.96	3.93	123371	122222	692	122697	0.61	OVER
16_consumer_shapes	entity_tick	14d99b7c6	2026-09-22		8c0e	163531	160714	284	162672	0.59	2.53	2.53	2.51	64491	64291	692	64367	0.17	OVER
16_consumer_shapes	enum_match	14d99b7c6	2026-09-22		1493	23704	23478	284	23538	0.67	2.61	2.63	2.58	9143	8973	692	9013	1.24	OVER
16_consumer_shapes	f32_build	14d99b7c6	2026-09-22	noisy	51080	142387	141573	284	142010	0.28	1.36	1.43	1.35	105406	98771	692	104651	5.72	ok
16_consumer_shapes	fov_rays	14d99b7c6	2026-09-22		c3	7292	7151	284	7253	0.41	1.75	1.76	1.74	4174	4099	692	4134	0.59	ok
16_consumer_shapes	mesh_aabb	14d99b7c6	2026-09-22	noisy	68f	20186	17714	284	17926	6.36	2.33	2.47	2.25	7991	7632	692	7705	2.97	OVER
16_consumer_shapes	mesh_emit	14d99b7c6	2026-09-22	noisy	51a1	106528	102623	284	104193	1.66	2.74	2.83	2.61	40010	36333	692	38047	6.41	OVER
16_consumer_shapes	tuple_kernel	14d99b7c6	2026-09-22		aec8	240383	239295	284	240095	0.19	1.72	1.72	1.72	139596	139404	692	139502	0.09	ok
drawing	composite	14d99b7c6	2026-09-22		cf852074	172743	157722	148	158952	0.57	1.57	1.57	1.56	101963	101086	220	101377	0.17	ok
drawing	fill_circle	14d99b7c6	2026-09-22		db390912	34722	31878	148	32331	0.96	0.60	0.60	0.59	54513	53986	220	54286	0.15	ok
drawing	fill_star	14d99b7c6	2026-09-22		e20f4245	17716	14263	148	14385	2.28	0.73	0.75	0.73	19904	19540	220	19586	0.54	ok
drawing	fronds	14d99b7c6	2026-09-22		ebcfd875	110574	98182	148	99290	1.29	1.96	1.98	1.93	52045	50331	220	50681	1.25	ok
drawing	hair	14d99b7c6	2026-09-22		c787185e	21425	21108	148	21155	0.21	1.49	1.50	1.48	14418	14095	220	14195	1.06	ok
drawing	hash	14d99b7c6	2026-09-22		7698ffff	116236	106297	148	107310	1.52	0.99	1.01	0.99	108631	106986	220	108086	0.74	ok
drawing	lock	14d99b7c6	2026-09-22		33e56005	2239452	2056297	148	2062925	0.31	1.33	1.33	1.32	1561013	1547163	220	1554877	0.57	ok
drawing	lock_curved	14d99b7c6	2026-09-22		2a3aa61	1590905	1447385	148	1453472	0.29	1.09	1.10	1.09	1335372	1322081	220	1332400	0.37	ok
drawing	parse	14d99b7c6	2026-09-22		33f6d2b8	17506	17344	148	17425	0.21	2.50	2.52	2.46	7086	6895	220	6959	1.93	OVER
drawing	render_lock	14d99b7c6	2026-09-22		432ddd47	5031628	4755608	148	4815135	0.60	1.66	1.67	1.66	2897713	2874859	220	2892818	0.29	ok
drawing	render_marks	14d99b7c6	2026-09-22		fa8b1c64	1436831	1425418	148	1434804	0.22	1.60	1.61	1.60	899881	888986	220	895377	0.36	ok
drawing	resize	14d99b7c6	2026-09-22		77de7581	27731466	27069777	148	27246817	1.44	1.48	1.50	1.47	19337545	18261472	220	18432000	1.12	ok
drawing	smooth	14d99b7c6	2026-09-22	noisy coarse	669cdc48	1337	1155	148	1263	5.90	3.24	3.38	3.09	404	381	220	390	2.95	OVER
drawing	wide_line	14d99b7c6	2026-09-22		91c48fd2	8817	8263	148	8344	2.55	1.40	1.43	1.39	6072	5809	220	5981	0.68	ok
fixstep	approach	5cf8a0e8c	2026-09-24		40e09668	51483315	51453644	76	51464039	0.02	2.16	2.16	2.16	23833160	23778863	168	23785827	0.08	OVER
fixstep	clock_advance	5cf8a0e8c	2026-09-24		aa67fa1c	33156315	33118236	76	33143210	0.03	3.14	3.14	3.14	10569648	10567482	168	10569148	0.01	OVER
fixstep	clock_pump	5cf8a0e8c	2026-09-24		f47b09d7	44429302	44404552	76	44426236	0.03	4.20	4.20	4.20	10569059	10567023	168	10567750	0.01	OVER
fixstep	timer_spend	5cf8a0e8c	2026-09-24		ff1f8e1	34307592	34261565	76	34270618	0.04	10.48	10.48	10.48	3397988	3269196	168	3269916	0.04	OVER
gridmesh	build_index	5cf8a0e8c	2026-09-24		691cac8d	41147704	37094840	44	38907772	5.00	16.34	16.60	15.20	3037464	2347154	342	2381502	3.88	OVER
gridmesh	collect_dirty_inputs	5cf8a0e8c	2026-09-24	noisy	2c5dd633	7153409	7139886	44	7144681	0.15	3.40	3.40	3.19	2687353	2100269	342	2104421	6.37	OVER
gridmesh	emit_segment	5cf8a0e8c	2026-09-24	noisy	71d1a3e3	93755750	87607522	44	88140750	3.87	7.77	8.55	7.66	11736707	9906254	342	11344555	6.97	OVER
gridmesh	field_add_cell	5cf8a0e8c	2026-09-24		5407a6c	32191431	30075772	44	30267113	2.80	10.00	10.28	9.95	3112558	3010447	342	3026991	0.52	OVER
html	escape_html	5cf8a0e8c	2026-09-24		78de6e83	18664528	18578556	214	18620799	0.20	10.28	10.30	10.26	1816325	1803536	2208	1812046	0.20	OVER
html	escape_html_blob	5cf8a0e8c	2026-09-24		b1fba8af	13630476	13581383	214	13594546	0.18	11.60	11.63	11.53	1230086	1154034	2208	1172436	0.70	OVER
markdown	extract_headings	5cf8a0e8c	2026-09-24		883da505	2342314	2274850	140	2290721	0.96	6.37	6.43	6.35	360809	358905	1212	359731	0.22	OVER
markdown	html_escape	5cf8a0e8c	2026-09-24		432850ed	28458000	28303064	140	28407442	0.15	8.58	8.60	8.57	3334907	3291797	1212	3309307	0.14	OVER
markdown	render	5cf8a0e8c	2026-09-24		72ff5351	5483285	5388850	140	5403371	0.20	4.07	4.08	4.07	1329066	1322602	1212	1326905	0.12	OVER
markdown	render_inline	5cf8a0e8c	2026-09-24		378e1c6c	10994192	10939714	140	10947450	0.25	6.66	6.69	6.63	1662921	1639747	1212	1643564	0.57	OVER
markdown	slugify	5cf8a0e8c	2026-09-24		b84da870	9752114	9694364	140	9710221	0.14	4.29	4.32	4.26	2280014	2249406	1212	2264116	1.14	OVER
random	get	5cf8a0e8c	2026-09-24		4f66e6ed	19014338	18865523	210	18872376	0.23	3.34	3.35	3.34	5652257	5651375	706	5651475	0.01	OVER
random	indices	5cf8a0e8c	2026-09-24		39dc7552	16427495	16406195	210	16417076	0.03	6.57	6.57	6.56	2501485	2499454	706	2499930	0.06	OVER
random	rand	5cf8a0e8c	2026-09-24		9c902b8f	4492619	4490785	210	4491400	0.02	2.70	2.70	2.70	1663675	1661444	706	1662750	0.06	OVER
random	rand_indices	5cf8a0e8c	2026-09-24		725d4ebd	4162914	4052547	210	4060876	1.14	3.48	3.52	3.47	1170407	1166805	706	1166923	0.13	OVER
ssh	byte_at	5cf8a0e8c	2026-09-24		21bff6b6	2494449	2493984	1602	2494111	0.01	3.00	3.00	3.00	831622	831391	4808	831472	0.01	OVER
text2d	atlas_cell	a6b6afbe4	2026-09-24		6f8fed45	2495794	2447705	34	2460058	0.43	2.01	2.02	1.99	1237915	1221034	2694	1223523	1.19	unclear
text2d	draw_quads	a6b6afbe4	2026-09-24		becf0b85	2341235	2304558	34	2316676	0.51	13.13	13.21	13.09	177128	175592	2694	176420	0.43	OVER
text2d	layout	a6b6afbe4	2026-09-24		44b38205	2874558	2800088	34	2830264	1.93	1.91	1.93	1.89	1490113	1476330	2694	1482886	0.40	ok
text2d	wrap	a6b6afbe4	2026-09-24		e99c15bd	503000	496735	34	499676	0.32	1.07	1.08	1.07	465510	464150	2694	464977	0.14	ok
text2d	write_text	a6b6afbe4	2026-09-24		53aaaae5	117867588	113242823	34	113308411	0.30	86.41	86.93	86.27	1316523	1306171	2694	1311349	0.46	OVER
time	day	5cf8a0e8c	2026-09-24		c289ca9a	1336083	1334838	900	1335264	0.05	1.31	1.31	1.31	1019650	1018565	3198	1018753	0.01	ok
time	format_iso	5cf8a0e8c	2026-09-24		a568b5b7	4439548	4403117	900	4425987	0.42	3.53	3.55	3.52	1261060	1242651	3198	1252263	0.64	OVER
time	iso_week	5cf8a0e8c	2026-09-24		7466d48c	1337912	1333996	900	1334854	0.06	1.35	1.35	1.35	992589	990929	3198	991281	0.12	ok
time	parse	5cf8a0e8c	2026-09-24		52b073aa	1617688	1559362	900	1581553	2.63	1.99	2.03	1.96	799623	790265	3198	796538	0.69	unclear
tween	ease	5cf8a0e8c	2026-09-24		684f4cc1	1218400	1217650	140	1218014	0.02	0.94	0.94	0.94	1294138	1293772	756	1293973	0.02	ok
tween	value	5cf8a0e8c	2026-09-24		bd2719ff	28247085	28210607	140	28223435	0.05	5.36	5.37	5.33	5320328	5254002	756	5263092	0.78	OVER
web	byte_at	5cf8a0e8c	2026-09-24		942d02af	2495548	2488353	1012	2492813	0.15	3.00	3.00	3.00	831385	831293	3160	831349	0.01	OVER
web	pack_u8	5cf8a0e8c	2026-09-24		e8c99dc5	4003916	3944344	1012	3952730	0.08	3.12	3.13	3.12	1268361	1260799	3160	1266057	0.24	OVER
